Date,High,Low,Open,Close,Volume,Return
2019-04-02,37.07,36.25,36.7,36.31,39560.09,-1.0626702997275195
2019-04-03,38.17,36.0,36.0,37.05,51021.5,2.0380060589369142
2019-04-04,37.79,36.11,36.63,37.27,48595.44,0.5937921727395601
2019-04-08,37.98,36.15,37.7,36.49,36866.28,-2.0928360611752073
2019-04-09,36.85,35.98,36.29,36.14,24909.88,-0.9591668950397425
2019-04-10,37.49,35.96,35.96,36.93,29777.03,2.1859435528500226
2019-04-11,37.0,35.65,36.9,35.7,23200.37,-3.3306255077172997
2019-04-12,36.39,35.11,35.79,35.39,21346.46,-0.8683473389355822
2019-04-15,35.93,33.9,35.69,34.21,59733.56,-3.334275218988414
2019-04-16,34.7,33.73,34.38,34.7,41434.22,1.4323297281496616
2019-04-17,34.89,34.26,34.66,34.74,28638.91,0.11527377521614035
2019-04-18,35.88,34.5,34.74,35.71,55991.71,2.792170408750727
2019-04-19,35.52,35.1,35.47,35.4,27803.09,-0.8681041725007055
2019-04-22,36.19,34.87,35.38,35.5,28825.77,0.28248587570622874
2019-04-23,36.71,35.07,35.53,36.46,45986.39,2.704225352112677
2019-04-24,36.87,35.91,36.57,36.73,21397.09,0.7405375754251153
2019-04-25,36.88,35.87,36.64,36.0,24356.69,-1.9874761775115601
2019-04-26,36.0,34.81,35.88,35.0,24922.05,-2.777777777777779
2019-04-29,35.9,34.62,35.2,35.81,25302.9,2.314285714285713
2019-04-30,37.12,35.82,35.83,37.0,32356.67,3.3230941077911025
2019-05-06,37.98,35.19,36.49,35.73,37213.38,-3.432432432432442
2019-05-07,38.23,35.73,35.73,38.12,52103.67,6.689056815001404
2019-05-08,39.5,37.5,38.0,38.44,45341.84,0.8394543546694555
2019-05-09,38.26,36.3,37.51,36.8,36926.65,-4.266389177939645
2019-05-10,40.48,37.16,37.16,40.03,82499.45,8.777173913043491
2019-05-13,43.33,39.31,39.43,42.6,76064.09,6.420184861353984
2019-05-14,41.96,40.88,41.66,41.6,54117.77,-2.3474178403755874
2019-05-15,42.59,41.03,41.6,42.5,62524.47,2.163461538461542
2019-05-16,44.8,41.23,42.0,44.2,60029.13,4.0000000000000036
2019-05-17,44.38,41.85,43.6,42.36,49191.1,-4.162895927601817
2019-05-20,42.68,39.58,42.68,41.16,42206.99,-2.8328611898017053
2019-05-21,42.36,40.02,41.0,41.49,39944.03,0.8017492711370311
2019-05-22,41.8,40.37,41.55,40.89,23555.67,-1.4461315979754197
2019-05-23,40.8,39.78,40.1,40.02,26242.29,-2.127659574468077
2019-05-24,40.88,39.71,39.72,40.13,27846.5,0.2748625687156503
2019-05-27,42.0,39.77,40.2,41.99,39432.93,4.634936456516314
2019-05-28,42.85,41.35,41.6,41.87,31493.44,-0.2857823291259942
2019-05-29,42.9,41.32,41.32,42.65,29113.93,1.862909004060187
2019-05-30,45.5,42.2,42.35,45.15,46239.62,5.861664712778425
2019-05-31,45.4,44.01,44.79,44.69,28983.44,-1.0188261351052108
2019-06-03,46.44,42.65,44.69,43.82,36052.18,-1.9467442380845745
2019-06-04,43.82,41.5,43.7,42.0,38630.31,-4.153354632587858
2019-06-05,43.62,41.61,42.38,43.59,34893.19,3.7857142857143034
2019-06-06,44.2,42.7,43.2,42.89,20905.71,-1.6058729066299682
2019-06-10,44.16,42.13,42.71,44.12,21079.21,2.8678013522965617
2019-06-11,45.4,43.8,44.12,44.99,28975.02,1.9718948322756225
2019-06-12,45.86,43.8,44.37,45.2,29162.91,0.46677039342075677
2019-06-13,45.38,44.44,45.09,44.48,16126.37,-1.592920353982319
2019-06-14,44.88,43.56,44.48,43.56,15894.22,-2.0683453237409943
2019-06-17,44.35,42.72,42.72,43.95,18579.8,0.8953168044077087
2019-06-18,44.28,43.38,43.95,43.63,14690.31,-0.7281001137656395
2019-06-19,44.59,43.7,44.2,43.8,19722.0,0.3896401558560525
2019-06-20,45.56,43.52,44.0,45.05,30534.6,2.8538812785388057
2019-06-21,44.98,44.0,44.0,44.54,21408.15,-1.132075471698113
2019-06-24,46.58,44.1,44.6,46.05,35228.06,3.3902110462505464
2019-06-25,46.3,44.9,46.05,45.7,38874.5,-0.7600434310531923
2019-06-26,46.66,45.29,45.5,46.45,41750.54,1.6411378555798661
2019-06-27,47.99,46.32,46.96,47.28,51112.06,1.7868675995694305
2019-06-28,47.28,45.65,46.48,47.16,33416.27,-0.2538071065989911
2019-07-01,48.87,47.16,47.34,48.45,41922.81,2.735368956743023
2019-07-02,48.3,47.23,48.3,47.51,43393.91,-1.9401444788441746
2019-07-03,48.21,46.1,47.3,47.05,33824.36,-0.9682172174279136
2019-07-04,47.09,44.95,46.23,45.42,41398.69,-3.464399574920285
2019-07-05,46.33,45.0,45.55,45.94,31743.75,1.1448701012769513
2019-07-08,46.65,45.2,46.0,46.16,32246.81,0.4788855028297734
2019-07-09,46.2,45.3,45.9,45.71,18292.56,-0.9748700173310088
2019-07-10,45.98,43.99,45.92,44.02,22442.96,-3.697221614526358
2019-07-11,44.74,39.99,44.7,41.38,109658.42,-5.997273966378924
2019-07-12,43.5,41.41,41.41,42.94,68747.71,3.769937167713855
2019-07-15,43.11,41.55,43.09,41.72,59051.78,-2.8411737307871388
2019-07-16,42.18,40.83,42.01,41.15,41611.32,-1.366251198465962
2019-07-17,41.75,40.19,41.35,41.01,32684.61,-0.3402187120291611
2019-07-18,41.05,40.13,40.68,40.13,32827.02,-2.1458180931479998
2019-07-19,42.61,40.28,40.28,42.47,67532.15,5.8310490904559975
2019-07-22,42.8,40.68,42.26,41.06,48036.55,-3.3199905815869957
2019-07-23,41.7,40.65,41.0,41.28,32486.81,0.5358012664393508
2019-07-24,41.88,41.2,41.28,41.78,23795.42,1.2112403100775104
2019-07-25,41.98,41.14,41.86,41.8,17795.16,0.04786979415987158
2019-07-26,42.52,41.46,41.7,41.89,23486.17,0.21531100478469067
2019-07-29,43.26,41.72,41.98,43.02,28125.35,2.6975411792790727
2019-07-30,43.46,42.4,42.8,42.57,18747.73,-1.0460251046025215
2019-07-31,42.8,41.0,42.49,41.1,27840.04,-3.4531360112755483
2019-08-01,41.35,40.3,40.8,40.92,25182.38,-0.43795620437956373
2019-08-02,40.59,38.5,40.0,40.3,39583.18,-1.515151515151525
2019-08-05,40.6,38.8,39.96,39.52,15621.92,-1.9354838709677247
2019-08-06,39.89,38.3,39.13,39.7,25663.49,0.45546558704452345
2019-08-07,40.31,39.5,39.75,39.76,18152.37,0.15113350125943725
2019-08-08,42.8,39.68,39.68,42.31,50263.52,6.413480885311884
2019-08-09,42.99,41.4,42.9,41.76,22502.12,-1.299929094776664
2019-08-12,42.33,41.06,41.79,41.5,28730.98,-0.622605363984674
2019-08-13,42.0,41.2,41.47,41.73,15932.89,0.5542168674698811
2019-08-14,42.38,41.52,42.23,41.79,18484.99,0.14378145219267058
2019-08-15,42.12,40.58,40.64,41.85,15576.77,0.1435750179468842
2019-08-16,45.29,42.22,42.22,44.74,66595.56,6.905615292712075
2019-08-19,45.35,44.48,44.9,44.9,35943.69,0.35762181493070866
2019-08-20,45.48,44.36,44.96,44.82,23526.92,-0.17817371937638438
2019-08-21,45.05,43.95,44.43,44.25,19896.03,-1.2717536813922403
2019-08-22,45.5,44.01,44.5,44.82,22125.83,1.2881355932203409
2019-08-23,45.3,44.55,44.85,45.08,20286.86,0.5800981704596087
2019-08-26,44.61,43.15,43.5,43.78,25382.43,-2.8837622005323804
2019-08-27,44.72,43.0,44.34,43.25,31988.72,-1.210598446779354
2019-08-28,43.7,42.82,43.25,43.17,22663.26,-0.18497109826589586
2019-08-29,43.6,42.66,43.6,43.23,15060.51,0.1389854065322993
2019-08-30,43.97,42.9,43.4,43.35,21126.0,0.2775850104094424
2019-09-02,43.58,42.5,43.51,43.47,21053.18,0.27681660899654403
2019-09-03,43.5,42.05,43.37,42.3,31243.47,-2.69151138716357
2019-09-04,42.69,41.76,42.29,42.32,23436.3,0.04728132387707973
